id,match
1,Inicio
2,Alemania 5 - 1 Escocia
3,Hungría 1 - 3 Suiza
4,España 3 - 0 Croacia
5,Italia 2 - 1 Albania
6,Polonia 1 - 2 Países Bajos
7,Eslovenia 1 - 1 Dinamarca
8,Serbia 0 - 1 Inglaterra
9,Rumania 3 - 0 Ucrania
10,Bélgica 0 - 1 Eslovaquia
11,Austria 0 - 1 Francia
12,Turquía 3 - 1 Georgia
13,Portugal 2 - 1 Chequía
14,Croacia 2 - 2 Albania
15,Alemania 2 - 0 Hungría
16,Escocia 1 - 1 Suiza
17,Eslovenia 1 - 1 Serbia
18,Dinamarca 1 -1 Inglaterra
19,España 1 - 0 Italia
20,Eslovaquia 1 - 2 Ucrania
21,Polonia 1 - 3 Austria
22,Países Bajos 0 - 0 Francia
23,Georgia 1 - 1 Chequía
24,Turquía 0 - 3 Portugal
25,Bélgica 2 - 0 Rumania
26,Suiza 1 - 1 Alemania
27,Escocia 0 - 1 Hungría
28,Albania 0 - 1 España
29,Croacia 1 - 1 Italia
30,Francia 1 - 1 Polonia
31,Países Bajos 2 - 3 Austria
32,Dinamarca 0 - 0 Serbia
33,Inglaterra 0 - 0 Eslovenia
34,Eslovaquia 1 - 1 Rumania
35,Ucrania 0 - 0 Bélgica
36,Georgia 2 - 0 Portugal
37,Chequía 1 - 2 Turquía
38,Final